gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_bucket,avg_monthly_spend,num_services,contract_commitment,high_risk_combo,treatment,observed_churn,true_uplift,estimated_uplift,uplift_quintile,segment
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,4-6yr,117.6138888888889,6,2,0,1,0,0.0,-0.00503422535478306,2,Sure Thing (skip)
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,7-12mo,113.56875,3,0,0,0,1,-0.05272132163690309,0.027321737383414146,4,Lost Cause (skip)
Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,2-4yr,78.32195121951219,4,1,0,1,0,-0.047563183934009205,-0.01765615414386108,2,Sure Thing (skip)
Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,1-2yr,81.59722222222223,2,0,1,1,0,-0.023927173685464365,-0.0969848621784451,0,Persuadable (target these)
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,4-6yr,82.21319444444445,5,2,0,0,0,-0.03407906870698851,-0.020166752503917734,2,Sure Thing (skip)
Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,1-2yr,94.88333333333333,3,0,0,1,1,-0.030364460756562232,0.04064155314347839,4,Lost Cause (skip)
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,1-2yr,93.16190476190476,4,0,0,1,0,-0.02453198266450106,-0.09691685575346093,0,Persuadable (target these)
Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,1-2yr,23.11578947368421,0,0,0,1,0,-0.14165887089265272,-0.003527054261420741,3,Sure Thing (skip)
Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,4-6yr,21.501639344262294,0,2,0,0,0,-0.007341079495767165,0.0008989587284186388,3,Sure Thing (skip)
Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,1-2yr,45.32941176470588,0,0,1,0,0,-0.27563152874728936,-0.07627125697196394,1,Persuadable (target these)
Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,4-6yr,107.915,4,0,1,0,1,-0.007895829116203568,-0.1555190416737456,0,Persuadable (target these)
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,4-6yr,115.52708333333334,6,2,0,1,0,0.0,0.021149555131128955,4,Sure Thing (skip)
Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,4-6yr,29.655102040816324,1,0,0,1,0,-0.3230058243067412,-0.045138506875033714,1,Sure Thing (skip)
Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,7-12mo,82.44090909090909,1,0,0,1,0,-0.034761578322565226,-0.1227072622239267,0,Persuadable (target these)
Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,1-2yr,50.19210526315789,1,0,0,0,1,-0.28246976541315927,-0.047607066580989836,1,Sure Thing (skip)
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,4-6yr,85.15069444444445,1,2,0,0,0,-0.03628147859090457,0.003546254010252936,3,Sure Thing (skip)
Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,7-12mo,19.91875,0,2,0,1,0,-0.008587254126515318,-0.009345235161392351,2,Sure Thing (skip)
Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,1-2yr,95.33666666666666,2,0,1,0,0,-0.011268633413842401,0.22655349406161057,4,Lost Cause (skip)
Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,4-6yr,101.7455223880597,4,1,0,1,0,-0.07629851789385886,-0.01630127039671589,2,Sure Thing (skip)
Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,2-4yr,37.63846153846154,2,1,0,1,0,-0.054953985919651914,-0.01642692943632331,2,Sure Thing (skip)
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,0-6mo,78.2,0,0,0,1,1,-0.04373735215944657,0.20810834657932709,4,Lost Cause (skip)
Female,0,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,1-2yr,29.969047619047622,1,0,1,0,0,-0.2900786803551952,-0.07564435412123233,1,Persuadable (target these)
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,4-6yr,18.838775510204083,0,1,0,1,0,-0.03783909548744947,3.5768275437223634e-05,3,Sure Thing (skip)
Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,1-2yr,16.67142857142857,0,1,0,1,0,-0.06813836730167737,0.0006504645069483417,3,Sure Thing (skip)
Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,4-6yr,71.56078431372549,0,0,0,1,0,-0.02306681266484063,-0.0995182263495354,0,Persuadable (target these)
Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,1-2yr,51.56875,2,0,0,0,0,-0.30806827174091483,-0.04696725302785915,1,Sure Thing (skip)
Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,1-2yr,86.72045454545454,2,0,1,0,0,-0.0020652365790767985,-0.19834012364856868,0,Persuadable (target these)
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,1-2yr,104.53846153846153,3,0,0,0,0,-0.020960213305402514,0.03156472411807332,4,Lost Cause (skip)
Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,2-4yr,24.887209302325584,0,2,0,0,0,-0.012737497639753926,0.0602672591440126,4,Sure Thing (skip)
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,0-6mo,80.14999999999999,2,0,1,1,0,-0.021366802350001577,-0.0995371164481994,0,Persuadable (target these)
Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,4-6yr,91.32962962962964,2,0,1,1,0,-0.05114729143421715,0.10930655186003524,4,Lost Cause (skip)
Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,0-6mo,24.2,0,0,0,1,0,-0.2622620388737102,-0.11178748700600388,0,Persuadable (target these)
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,4-6yr,20.33478260869565,0,1,0,0,0,-0.06485977163244645,4.820852513927245e-05,3,Sure Thing (skip)
Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,4-6yr,23.058870967741935,0,2,0,0,0,-0.01306104272572652,0.017819770115680637,4,Sure Thing (skip)
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,0-6mo,84.1,2,0,1,0,1,-0.03737483422448226,-0.07531509538173564,1,Persuadable (target these)
Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,4-6yr,97.08629032258065,3,0,0,0,0,-0.03870977104118377,-0.1136545296735395,0,Persuadable (target these)
Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,0-6mo,42.575,0,0,0,0,0,-0.2695799408255739,-0.12486816924220848,0,Persuadable (target these)
